stone,1
grass_block,2
dirt,3
cobblestone,4
wood_planks,5
oak_sapling,6,0
spruce_sapling,6,1
birch_sapling,6,2
bedrock,7
flowing_water,8
stationary_water,9
flowing_lava,10
stationary_lava,11
sand,12
gravel,13
gold_ore,14
iron_ore,15
coal_ore,16
oak_log,17,0
spruce_log,17,1
birch_log,17,2
oak_leaves,18,0
spruce_leaves,18,1
birch_leaves,18,2
sponge,19
glass,20
lapis_lazuli_ore,21
lapis_lazuli_block,22
dispenser,23
sandstone,24
note_block,25
bed_block,26
powered_rail,27
detector_rail,28
sticky_piston,29
web,30
dead_grass,31,0
tall_grass,31,1
fern,31,2
dead_bush,32
piston,33
piston_extension,34
white_wool,35,0
orange_wool,35,1
magenta_wool,35,2
light_blue_wool,35,3
yellow_wool,35,4
lime_wool,35,5
pink_wool,35,6
gray_wool,35,7
silver_wool,35,8
cyan_wool,35,9
purple_wool,35,10
blue_wool,35,11
brown_wool,35,12
green_wool,35,13
red_wool,35,14
black_wool,35,15
moving_piston_piece,36
dandelion,37
red_rose,38
brown_mushroom,39
red_mushroom,40
gold_block,41
iron_block,42
stone_double_step,43,0
sandstone_double_step,43,1
wood_double_step,43,2
cobblestone_double_step,43,3
stone_step,44,0
sandstone_step,44,1
wood_step,44,2
cobblestone_step,44,3
bricks,45
tnt,46
bookshelf,47
mossy_cobblestone,48
obsidian,49
torch,50
fire,51
mob_spawner,52
wood_stairs,53
chest,54
redstone_wire,55
diamond_ore,56
diamond_block,57
workbench,58
crops,59
soil,60
furnace,61
burning_furnace,62
sign_post,63
wood_door_block,64
ladder,65
rail,66
cobblestone_stairs,67
wall_sign,68
lever,69
stone_pressure_plate,70
iron_door_block,71
wood_pressure_plate,72
redstone_ore,73
glowing_redstone_ore,74
redstone_torch_off,75
redstone_torch,76
button,77
snow,78
ice,79
snow_block,80
cactus,81
clay_block,82
sugar_cane_block,83
jukebox,84
fence,85
pumpkin,86
netherrack,87
soul_sand,88
glowstone,89
portal,90
jack_o_lantern,91
cake_block,92
diode_block_off,93
diode_block,94
locked_chest,95
trapdoor,96
iron_shovel,256
iron_pickaxe,257
iron_axe,258
flint_and_steel,259
apple,260
bow,261
arrow,262
coal,263,0
charcoal,263,1
diamond,264
iron_ingot,265
gold_ingot,266
iron_sword,267
wood_sword,268
wood_shovel,269
wood_pickaxe,270
wood_axe,271
stone_sword,272
stone_shovel,273
stone_pickaxe,274
stone_axe,275
diamond_sword,276
diamond_shovel,277
diamond_pickaxe,278
diamond_axe,279
stick,280
bowl,281
mushroom_soup,282
gold_sword,283
gold_shovel,284
gold_pickaxe,285
gold_axe,286
string,287
feather,288
sulphur,289
wood_hoe,290
stone_hoe,291
iron_hoe,292
diamond_hoe,293
gold_hoe,294
seeds,295
wheat,296
bread,297
leather_helmet,298
leather_chestplate,299
leather_leggings,300
leather_boots,301
chainmail_helmet,302
chainmail_chestplate,303
chainmail_leggings,304
chainmail_boots,305
iron_helmet,306
iron_chestplate,307
iron_leggings,308
iron_boots,309
diamond_helmet,310
diamond_chestplate,311
diamond_leggings,312
diamond_boots,313
gold_helmet,314
gold_chestplate,315
gold_leggings,316
gold_boots,317
flint,318
raw_pork,319
grilled_pork,320
painting,321
golden_apple,322
sign,323
wood_door,324
bucket,325
water_bucket,326
lava_bucket,327
minecart,328
saddle,329
iron_door,330
redstone,331
snowball,332
boat,333
leather,334
milk_bucket,335
brick,336
clay_ball,337
sugar_cane,338
paper,339
book,340
slime_ball,341
storage_minecart,342
powered_minecart,343
egg,344
compass,345
fishing_rod,346
clock,347
glowstone_dust,348
raw_fish,349
cooked_fish,350
ink_sack,351,0
rose_red,351,1
cactus_green,351,2
cocoa_beans,351,3
lapis_lazuli,351,4
purple_dye,351,5
cyan_dye,351,6
silver_dye,351,7
gray_dye,351,8
pink_dye,351,9
lime_dye,351,10
yellow_dye,351,11
light_blue_dye,351,12
magenta_dye,351,13
orange_dye,351,14
bone_meal,351,15
bone,352
sugar,353
cake,354
bed,355
diode,356
cookie,357
map,358
shears,359
gold_record,2256
green_record,2257
